日期,代號,名稱,開盤,最高,最低,收盤,成交金額,資料來源,下載時間
2025-05-22,1101,台泥,30.2,30.3,29.7,30.0,834311404,TWSE,2025-06-07 13:26:53
2025-05-22,1102,亞泥,44.7,44.85,43.25,43.35,843877070,TWSE,2025-06-07 13:26:53
2025-05-22,1103,嘉泥,16.05,16.15,15.95,16.0,3251447,TWSE,2025-06-07 13:26:53
2025-05-22,1104,環泥,29.9,30.0,29.7,29.7,9840896,TWSE,2025-06-07 13:26:53
2025-05-22,1108,幸福,15.3,15.3,15.2,15.3,1422419,TWSE,2025-06-07 13:26:53
2025-05-22,1109,信大,17.4,17.5,17.3,17.35,1550648,TWSE,2025-06-07 13:26:53
2025-05-22,1110,東泥,20.75,21.3,20.65,20.95,6807550,TWSE,2025-06-07 13:26:53
2025-05-22,1201,味全,17.0,17.05,16.9,17.05,2726084,TWSE,2025-06-07 13:26:53
2025-05-22,1203,味王,41.0,41.5,41.0,41.05,296481,TWSE,2025-06-07 13:26:53
2025-05-22,1210,大成,63.8,65.0,62.8,63.9,319473722,TWSE,2025-06-07 13:26:53
2025-05-22,1213,大飲,13.0,13.0,12.4,12.8,200515,TWSE,2025-06-07 13:26:53
2025-05-22,1215,卜蜂,113.5,115.0,113.5,114.5,93999282,TWSE,2025-06-07 13:26:53
2025-05-22,1216,統一,80.5,81.1,79.9,80.4,1041134819,TWSE,2025-06-07 13:26:53
2025-05-22,1217,愛之味,11.2,11.25,11.15,11.25,6303556,TWSE,2025-06-07 13:26:53
2025-05-22,1218,泰山,21.4,21.5,21.35,21.35,19991864,TWSE,2025-06-07 13:26:53
2025-05-22,1219,福壽,15.85,15.95,15.65,15.8,7135536,TWSE,2025-06-07 13:26:53
2025-05-22,1220,台榮,14.5,14.55,14.3,14.4,2696673,TWSE,2025-06-07 13:26:53
2025-05-22,1227,佳格,35.45,35.6,35.25,35.3,17260763,TWSE,2025-06-07 13:26:53
2025-05-22,1229,聯華,46.25,46.25,45.6,45.95,51555953,TWSE,2025-06-07 13:26:53
2025-05-22,1231,聯華食,139.0,139.0,137.5,138.0,18335170,TWSE,2025-06-07 13:26:53
2025-05-22,1232,大統益,162.5,164.0,162.0,163.5,10355766,TWSE,2025-06-07 13:26:53
2025-05-22,1233,天仁,32.9,33.0,32.6,32.6,593006,TWSE,2025-06-07 13:26:53
2025-05-22,1234,黑松,42.1,42.1,41.7,41.75,4046003,TWSE,2025-06-07 13:26:53
2025-05-22,1235,興泰,106.5,110.0,106.0,106.0,688379,TWSE,2025-06-07 13:26:53
2025-05-22,1236,宏亞,22.35,22.6,22.35,22.6,852387,TWSE,2025-06-07 13:26:53
2025-05-22,1256,鮮活果汁-KY,118.0,118.0,118.0,118.0,245005,TWSE,2025-06-07 13:26:53
2025-05-22,1301,台塑,36.6,36.6,35.95,36.0,323739023,TWSE,2025-06-07 13:26:53
2025-05-22,1303,南亞,31.4,31.45,30.65,30.7,263252591,TWSE,2025-06-07 13:26:53
2025-05-22,1304,台聚,10.25,10.25,10.1,10.15,11742583,TWSE,2025-06-07 13:26:53
2025-05-22,1305,華夏,11.1,11.2,11.05,11.1,6304441,TWSE,2025-06-07 13:26:53
2025-05-22,1307,三芳,38.95,39.0,38.65,38.7,34028569,TWSE,2025-06-07 13:26:53
2025-05-22,1308,亞聚,12.45,12.5,12.3,12.35,8123496,TWSE,2025-06-07 13:26:53
2025-05-22,1309,台達化,11.9,11.9,11.8,11.85,3089280,TWSE,2025-06-07 13:26:53
2025-05-22,1310,台苯,8.92,8.92,8.75,8.75,3488179,TWSE,2025-06-07 13:26:53
2025-05-22,1312,國喬,11.1,11.1,10.85,10.85,29746834,TWSE,2025-06-07 13:26:53
2025-05-22,1313,聯成,8.49,8.49,8.33,8.35,6560965,TWSE,2025-06-07 13:26:53
2025-05-22,1314,中石化,7.3,7.3,7.2,7.21,32068769,TWSE,2025-06-07 13:26:53
2025-05-22,1315,達新,66.4,66.4,66.3,66.3,338894,TWSE,2025-06-07 13:26:53
2025-05-22,1316,上曜,15.5,16.05,15.3,15.8,117055823,TWSE,2025-06-07 13:26:53
2025-05-22,1319,東陽,134.0,135.5,131.0,131.0,464593406,TWSE,2025-06-07 13:26:53
2025-05-22,1321,大洋,36.7,36.8,36.55,36.75,3008050,TWSE,2025-06-07 13:26:53
2025-05-22,1323,永裕,20.6,20.6,20.4,20.6,594842,TWSE,2025-06-07 13:26:53
2025-05-22,1324,地球,11.65,11.7,11.6,11.6,189587,TWSE,2025-06-07 13:26:53
2025-05-22,1325,恆大,32.75,33.8,31.85,32.0,150650998,TWSE,2025-06-07 13:26:53
2025-05-22,1326,台化,25.65,25.65,25.0,25.0,275554154,TWSE,2025-06-07 13:26:53
2025-05-22,1337,再生-KY,6.5,6.57,6.42,6.49,743861,TWSE,2025-06-07 13:26:53
2025-05-22,1338,廣華-KY,24.8,24.9,24.6,24.9,332136,TWSE,2025-06-07 13:26:53
2025-05-22,1339,昭輝,54.2,54.3,53.3,53.9,1646980,TWSE,2025-06-07 13:26:53
2025-05-22,1340,勝悅-KY,7.5,7.5,7.23,7.49,300745,TWSE,2025-06-07 13:26:53
2025-05-22,1341,富林-KY,66.0,66.6,66.0,66.6,399002,TWSE,2025-06-07 13:26:53
2025-05-22,1342,八貫,94.4,95.3,93.9,94.2,11077878,TWSE,2025-06-07 13:26:53
2025-05-22,1402,遠東新,32.1,32.35,31.65,31.9,1062805745,TWSE,2025-06-07 13:26:53
2025-05-22,1409,新纖,13.15,13.3,13.15,13.2,18568677,TWSE,2025-06-07 13:26:53
2025-05-22,1410,南染,37.65,37.75,37.45,37.6,4113661,TWSE,2025-06-07 13:26:53
2025-05-22,1413,宏洲,11.85,11.9,11.85,11.9,439810,TWSE,2025-06-07 13:26:53
2025-05-22,1414,東和,19.8,19.85,19.35,19.75,5500252,TWSE,2025-06-07 13:26:53
2025-05-22,1416,廣豐,12.5,12.7,12.5,12.65,1317037,TWSE,2025-06-07 13:26:53
2025-05-22,1417,嘉裕,8.16,8.16,8.04,8.06,483221,TWSE,2025-06-07 13:26:53
2025-05-22,1418,東華,22.3,23.0,22.3,22.6,116045,TWSE,2025-06-07 13:26:53
2025-05-22,1419,新紡,63.1,67.6,61.1,67.6,391005924,TWSE,2025-06-07 13:26:53
2025-05-22,1423,利華,36.85,36.9,36.85,36.9,370428,TWSE,2025-06-07 13:26:53
2025-05-22,1432,大魯閣,17.9,17.9,17.65,17.7,2108815,TWSE,2025-06-07 13:26:53
2025-05-22,1434,福懋,17.4,17.4,17.15,17.3,10547082,TWSE,2025-06-07 13:26:53
2025-05-22,1436,華友聯,124.5,124.5,122.5,123.5,17751017,TWSE,2025-06-07 13:26:53
2025-05-22,1437,勤益控,32.5,32.6,32.4,32.55,1222050,TWSE,2025-06-07 13:26:53
2025-05-22,1438,三地開發,43.5,44.15,43.4,43.5,1319974,TWSE,2025-06-07 13:26:53
2025-05-22,1439,雋揚,31.1,31.8,31.1,31.6,978431,TWSE,2025-06-07 13:26:53
2025-05-22,1440,南紡,14.25,15.25,14.25,14.35,98638332,TWSE,2025-06-07 13:26:53
2025-05-22,1441,大東,13.0,13.2,13.0,13.0,384110,TWSE,2025-06-07 13:26:53
2025-05-22,1442,名軒,70.1,72.0,70.1,71.5,57664788,TWSE,2025-06-07 13:26:53
2025-05-22,1443,立益物流,31.6,31.7,31.4,31.5,604702,TWSE,2025-06-07 13:26:53
2025-05-22,1444,力麗,7.15,7.15,7.07,7.11,5515327,TWSE,2025-06-07 13:26:53
2025-05-22,1445,大宇,15.0,15.1,15.0,15.1,1072802,TWSE,2025-06-07 13:26:53
2025-05-22,1446,宏和,27.6,27.65,27.4,27.5,2550484,TWSE,2025-06-07 13:26:53
2025-05-22,1447,力鵬,6.37,6.38,6.34,6.34,2011782,TWSE,2025-06-07 13:26:53
2025-05-22,1449,佳和,14.25,14.25,13.85,13.85,4799437,TWSE,2025-06-07 13:26:53
2025-05-22,1451,年興,19.85,20.0,19.85,20.0,2243150,TWSE,2025-06-07 13:26:53
2025-05-22,1452,宏益,12.65,12.7,12.6,12.6,242732,TWSE,2025-06-07 13:26:53
2025-05-22,1453,大將,15.2,15.5,15.2,15.2,1275284,TWSE,2025-06-07 13:26:53
2025-05-22,1454,台富,14.95,16.05,14.95,16.05,1576805,TWSE,2025-06-07 13:26:53
2025-05-22,1455,集盛,9.28,9.56,9.28,9.56,2236532,TWSE,2025-06-07 13:26:53
2025-05-22,1456,怡華,13.7,13.7,13.4,13.65,422366,TWSE,2025-06-07 13:26:53
2025-05-22,1457,宜進,17.9,18.0,17.8,18.0,956141,TWSE,2025-06-07 13:26:53
2025-05-22,1459,聯發,11.9,11.95,11.8,11.85,632805,TWSE,2025-06-07 13:26:53
2025-05-22,1460,宏遠,7.13,7.18,7.12,7.18,5943131,TWSE,2025-06-07 13:26:53
2025-05-22,1463,強盛新,21.95,22.1,21.8,21.8,3819137,TWSE,2025-06-07 13:26:53
2025-05-22,1464,得力,13.9,13.9,13.6,13.7,15365186,TWSE,2025-06-07 13:26:53
2025-05-22,1465,偉全,13.7,13.7,13.5,13.6,884273,TWSE,2025-06-07 13:26:53
2025-05-22,1466,聚隆,18.3,18.3,17.55,17.6,26068956,TWSE,2025-06-07 13:26:53
2025-05-22,1467,南緯,8.86,8.86,8.82,8.82,967239,TWSE,2025-06-07 13:26:53
2025-05-22,1468,昶和,14.0,14.25,14.0,14.25,452600,TWSE,2025-06-07 13:26:53
2025-05-22,1470,大統新創,25.6,25.7,25.35,25.4,666424,TWSE,2025-06-07 13:26:53
2025-05-22,1471,首利,11.15,11.2,10.95,11.05,2066427,TWSE,2025-06-07 13:26:53
2025-05-22,1472,三洋實業,106.0,106.0,103.0,103.5,6963639,TWSE,2025-06-07 13:26:53
2025-05-22,1473,台南,30.2,30.2,29.75,30.0,4285198,TWSE,2025-06-07 13:26:53
2025-05-22,1474,弘裕,13.5,13.6,13.4,13.6,1065050,TWSE,2025-06-07 13:26:53
2025-05-22,1475,業旺,45.0,45.2,44.5,45.2,1446347,TWSE,2025-06-07 13:26:53
2025-05-22,1476,儒鴻,418.5,421.0,408.5,413.5,519134046,TWSE,2025-06-07 13:26:53
2025-05-22,1477,聚陽,277.5,280.0,273.0,276.5,471269397,TWSE,2025-06-07 13:26:53
2025-05-22,1503,士電,183.5,196.5,181.5,188.5,5036157955,TWSE,2025-06-07 13:26:53
2025-05-22,1504,東元,52.2,53.2,52.1,52.9,170979636,TWSE,2025-06-07 13:26:53
2025-05-22,1506,正道,11.95,12.0,11.85,11.95,464066,TWSE,2025-06-07 13:26:53
2025-05-22,1512,瑞利,9.49,9.49,9.23,9.24,768481,TWSE,2025-06-07 13:26:53
2025-05-22,1513,中興電,152.5,156.5,151.0,151.5,2892859534,TWSE,2025-06-07 13:26:53
2025-05-22,1514,亞力,110.5,115.5,110.0,111.0,2563257497,TWSE,2025-06-07 13:26:53
2025-05-22,1515,力山,31.0,31.0,30.1,30.3,4658408,TWSE,2025-06-07 13:26:53
2025-05-22,1516,川飛,21.7,21.7,20.6,21.25,11664787,TWSE,2025-06-07 13:26:53
2025-05-22,1517,利奇,11.6,11.7,11.4,11.5,1568313,TWSE,2025-06-07 13:26:53
2025-05-22,1519,華城,478.0,488.5,472.0,474.0,2941583546,TWSE,2025-06-07 13:26:53
2025-05-22,1521,大億,28.55,28.7,28.4,28.7,117348,TWSE,2025-06-07 13:26:53
2025-05-22,1522,堤維西,47.0,47.6,46.9,47.3,22927083,TWSE,2025-06-07 13:26:53
2025-05-22,1524,耿鼎,32.6,32.6,32.0,32.1,59584312,TWSE,2025-06-07 13:26:53
2025-05-22,1525,江申,64.2,65.0,63.2,63.9,527555,TWSE,2025-06-07 13:26:53
2025-05-22,1526,日馳,23.0,23.05,22.5,22.7,752937,TWSE,2025-06-07 13:26:53
2025-05-22,1527,鑽全,38.55,39.0,38.5,39.0,3511738,TWSE,2025-06-07 13:26:53
2025-05-22,1528,恩德,14.0,14.0,13.75,13.9,12718738,TWSE,2025-06-07 13:26:53
2025-05-22,1529,樂事綠能,28.95,30.3,28.6,29.05,275076880,TWSE,2025-06-07 13:26:53
2025-05-22,1530,亞崴,32.3,32.5,32.05,32.1,3179603,TWSE,2025-06-07 13:26:53
2025-05-22,1531,高林股,12.9,12.9,12.6,12.6,1489581,TWSE,2025-06-07 13:26:53
2025-05-22,1532,勤美,27.2,27.2,26.8,26.9,13193901,TWSE,2025-06-07 13:26:53
2025-05-22,1533,車王電,30.2,30.2,29.65,29.65,1301459,TWSE,2025-06-07 13:26:53
2025-05-22,1535,中宇,56.4,57.1,56.4,56.8,1033163,TWSE,2025-06-07 13:26:53
2025-05-22,1536,和大,62.5,62.5,60.4,61.9,275304689,TWSE,2025-06-07 13:26:53
2025-05-22,1537,廣隆,144.5,145.0,143.5,143.5,9310334,TWSE,2025-06-07 13:26:53
2025-05-22,1538,正峰,29.5,30.0,28.85,28.85,279331,TWSE,2025-06-07 13:26:53
2025-05-22,1539,巨庭,19.5,19.5,19.25,19.3,1207754,TWSE,2025-06-07 13:26:53
2025-05-22,1540,喬福,31.6,31.75,31.1,31.7,10328758,TWSE,2025-06-07 13:26:53
2025-05-22,1558,伸興,98.6,99.0,98.4,98.5,2401906,TWSE,2025-06-07 13:26:53
2025-05-22,1560,中砂,285.0,290.0,282.0,289.0,377513846,TWSE,2025-06-07 13:26:53
2025-05-22,1563,巧新,59.9,59.9,58.0,58.3,21247711,TWSE,2025-06-07 13:26:53
2025-05-22,1568,倉佑,25.65,25.9,25.6,25.8,1895382,TWSE,2025-06-07 13:26:53
2025-05-22,1582,信錦,78.1,78.3,77.6,77.9,43334712,TWSE,2025-06-07 13:26:53
2025-05-22,1583,程泰,59.1,60.0,58.9,59.4,1429551,TWSE,2025-06-07 13:26:53
2025-05-22,1587,吉茂,30.4,30.6,30.35,30.55,1340837,TWSE,2025-06-07 13:26:53
2025-05-22,1589,永冠-KY,29.0,29.05,28.3,28.5,6409289,TWSE,2025-06-07 13:26:53
2025-05-22,1590,亞德客-KY,934.0,940.0,927.0,930.0,275741272,TWSE,2025-06-07 13:26:53
2025-05-22,1597,直得,91.0,91.5,89.5,91.5,164730327,TWSE,2025-06-07 13:26:53
2025-05-22,1598,岱宇,22.25,22.55,22.1,22.5,2324766,TWSE,2025-06-07 13:26:53
2025-05-22,1603,華電,38.4,38.6,37.75,38.0,11491716,TWSE,2025-06-07 13:26:53
2025-05-22,1604,聲寶,27.25,27.5,27.2,27.4,12994845,TWSE,2025-06-07 13:26:53
2025-05-22,1605,華新,23.2,23.2,22.6,22.7,315014370,TWSE,2025-06-07 13:26:53
2025-05-22,1608,華榮,25.35,25.9,25.25,25.25,29270595,TWSE,2025-06-07 13:26:53
2025-05-22,1609,大亞,38.6,39.45,38.35,38.35,272292298,TWSE,2025-06-07 13:26:53
2025-05-22,1611,中電,14.0,14.05,13.85,13.85,1901947,TWSE,2025-06-07 13:26:53
2025-05-22,1612,宏泰,33.4,33.85,33.4,33.75,7603920,TWSE,2025-06-07 13:26:53
2025-05-22,1614,三洋電,39.3,39.6,39.15,39.4,1595567,TWSE,2025-06-07 13:26:53
2025-05-22,1615,大山,52.4,52.4,52.0,52.0,4087865,TWSE,2025-06-07 13:26:53
2025-05-22,1616,億泰,26.85,27.3,26.55,26.7,85829494,TWSE,2025-06-07 13:26:53
2025-05-22,1617,榮星,17.3,17.65,17.05,17.05,2672971,TWSE,2025-06-07 13:26:53
2025-05-22,1618,合機,48.6,49.65,48.2,48.3,329246704,TWSE,2025-06-07 13:26:53
2025-05-22,1626,艾美特-KY,12.4,12.4,12.35,12.35,219999,TWSE,2025-06-07 13:26:53
2025-05-22,1702,南僑,47.35,47.35,46.75,46.95,33194514,TWSE,2025-06-07 13:26:53
2025-05-22,1707,葡萄王,135.0,135.5,134.5,135.5,10458460,TWSE,2025-06-07 13:26:53
2025-05-22,1708,東鹼,37.9,37.9,37.25,37.7,42066392,TWSE,2025-06-07 13:26:53
2025-05-22,1709,和益,18.4,18.4,18.25,18.3,3313837,TWSE,2025-06-07 13:26:53
2025-05-22,1710,東聯,13.9,13.9,13.45,13.5,14616153,TWSE,2025-06-07 13:26:53
2025-05-22,1711,永光,16.95,16.95,16.65,16.65,10838980,TWSE,2025-06-07 13:26:53
2025-05-22,1712,興農,42.95,42.95,42.55,42.6,12741111,TWSE,2025-06-07 13:26:53
2025-05-22,1713,國化,54.3,54.6,54.1,54.5,9431211,TWSE,2025-06-07 13:26:53
2025-05-22,1714,和桐,8.15,8.15,8.07,8.09,5559474,TWSE,2025-06-07 13:26:53
2025-05-22,1717,長興,26.25,26.25,25.85,26.2,27429921,TWSE,2025-06-07 13:26:53
2025-05-22,1718,中纖,6.69,6.76,6.68,6.69,4945926,TWSE,2025-06-07 13:26:53
2025-05-22,1720,生達,59.2,59.2,58.8,58.9,4733714,TWSE,2025-06-07 13:26:53
2025-05-22,1721,三晃,12.35,12.35,12.1,12.3,4233989,TWSE,2025-06-07 13:26:53
2025-05-22,1722,台肥,55.1,55.6,54.7,54.9,111232729,TWSE,2025-06-07 13:26:53
2025-05-22,1723,中碳,96.3,96.5,95.9,96.4,15307172,TWSE,2025-06-07 13:26:53
2025-05-22,1725,元禎,30.3,30.3,30.0,30.2,151826,TWSE,2025-06-07 13:26:53
2025-05-22,1726,永記,76.8,76.8,76.5,76.7,853962,TWSE,2025-06-07 13:26:53
2025-05-22,1727,中華化,24.4,24.4,24.05,24.15,2370468,TWSE,2025-06-07 13:26:53
2025-05-22,1730,花仙子,56.9,57.3,56.9,57.3,604972,TWSE,2025-06-07 13:26:53
2025-05-22,1731,美吾華,22.85,22.95,22.75,22.9,466512,TWSE,2025-06-07 13:26:53
2025-05-22,1732,毛寶,29.3,29.55,28.05,28.2,54261190,TWSE,2025-06-07 13:26:53
2025-05-22,1733,五鼎,31.35,31.35,31.05,31.1,3486724,TWSE,2025-06-07 13:26:53
2025-05-22,1734,杏輝,33.5,33.55,33.3,33.55,11494010,TWSE,2025-06-07 13:26:53
2025-05-22,1735,日勝化,16.4,16.6,16.35,16.35,201583,TWSE,2025-06-07 13:26:53
2025-05-22,1736,喬山,157.5,157.5,149.5,149.5,166402877,TWSE,2025-06-07 13:26:53
2025-05-22,1737,臺鹽,32.7,32.9,32.7,32.7,770192,TWSE,2025-06-07 13:26:53
2025-05-22,1752,南光,37.4,37.4,36.85,37.0,3074682,TWSE,2025-06-07 13:26:53
2025-05-22,1760,寶齡富錦,74.9,75.8,74.0,74.0,14016097,TWSE,2025-06-07 13:26:53
2025-05-22,1762,中化生,29.55,29.55,29.35,29.4,1205219,TWSE,2025-06-07 13:26:53
2025-05-22,1773,勝一,145.5,146.5,144.0,145.0,14861601,TWSE,2025-06-07 13:26:53
2025-05-22,1776,展宇,18.1,18.1,17.95,18.1,236952,TWSE,2025-06-07 13:26:53
2025-05-22,1783,和康生,44.25,44.35,43.5,44.35,1192930,TWSE,2025-06-07 13:26:53
2025-05-22,1786,科妍,95.1,96.7,94.8,96.3,11151267,TWSE,2025-06-07 13:26:53
2025-05-22,1789,神隆,18.4,18.45,18.1,18.15,11539034,TWSE,2025-06-07 13:26:53
2025-05-22,1795,美時,232.0,233.0,225.0,226.5,408520513,TWSE,2025-06-07 13:26:53
2025-05-22,1802,台玻,14.25,14.25,14.0,14.05,69259777,TWSE,2025-06-07 13:26:53
2025-05-22,1805,寶徠,14.75,14.75,14.65,14.65,207265,TWSE,2025-06-07 13:26:53
2025-05-22,1806,冠軍,11.25,11.35,11.15,11.25,7664703,TWSE,2025-06-07 13:26:53
2025-05-22,1808,潤隆,30.95,30.95,30.7,30.9,28197053,TWSE,2025-06-07 13:26:53
2025-05-22,1809,中釉,16.45,16.5,16.2,16.3,2747478,TWSE,2025-06-07 13:26:53
2025-05-22,1810,和成,16.8,16.8,16.5,16.6,15534061,TWSE,2025-06-07 13:26:53
2025-05-22,1817,凱撒衛,44.05,44.25,44.05,44.1,1016699,TWSE,2025-06-07 13:26:53
2025-05-22,1903,士紙,64.0,69.2,62.5,66.0,947940432,TWSE,2025-06-07 13:26:53
2025-05-22,1904,正隆,18.25,18.25,18.05,18.15,6780215,TWSE,2025-06-07 13:26:53
2025-05-22,1905,華紙,14.0,14.0,13.8,13.95,7423286,TWSE,2025-06-07 13:26:53
2025-05-22,1906,寶隆,12.95,13.0,12.65,13.0,355437,TWSE,2025-06-07 13:26:53
2025-05-22,1907,永豐餘,27.4,27.5,27.05,27.35,33779639,TWSE,2025-06-07 13:26:53
2025-05-22,1909,榮成,9.6,9.61,9.48,9.53,8319885,TWSE,2025-06-07 13:26:53
2025-05-22,2002,中鋼,21.05,21.05,20.4,20.45,697506492,TWSE,2025-06-07 13:26:53
2025-05-22,2006,東和鋼鐵,67.2,67.5,66.7,66.8,34915773,TWSE,2025-06-07 13:26:53
2025-05-22,2007,燁興,8.49,8.49,8.36,8.37,754218,TWSE,2025-06-07 13:26:53
2025-05-22,2008,高興昌,25.25,25.25,25.25,25.25,30645,TWSE,2025-06-07 13:26:53
2025-05-22,2009,第一銅,34.4,34.65,34.05,34.2,23465498,TWSE,2025-06-07 13:26:53
2025-05-22,2010,春源,19.85,19.9,19.5,19.55,17759668,TWSE,2025-06-07 13:26:53
2025-05-22,2012,春雨,21.35,21.35,20.9,21.0,484301,TWSE,2025-06-07 13:26:53
2025-05-22,2013,中鋼構,44.35,44.4,44.0,44.1,3230856,TWSE,2025-06-07 13:26:53
2025-05-22,2014,中鴻,16.45,16.45,15.85,15.9,149810723,TWSE,2025-06-07 13:26:53
2025-05-22,2015,豐興,62.1,62.4,61.7,61.7,7134386,TWSE,2025-06-07 13:26:53
2025-05-22,2017,官田鋼,9.95,10.05,9.95,9.97,3709128,TWSE,2025-06-07 13:26:53
2025-05-22,2020,美亞,29.2,29.2,28.65,28.8,11872452,TWSE,2025-06-07 13:26:53
2025-05-22,2022,聚亨,8.34,8.35,8.2,8.25,1885971,TWSE,2025-06-07 13:26:53
2025-05-22,2023,燁輝,15.15,15.2,15.05,15.15,19353228,TWSE,2025-06-07 13:26:53
2025-05-22,2024,志聯,17.7,17.7,17.7,17.7,89430,TWSE,2025-06-07 13:26:53
2025-05-22,2025,千興,15.3,15.5,15.1,15.15,1716987,TWSE,2025-06-07 13:26:53
2025-05-22,2027,大成鋼,37.4,37.4,36.5,36.5,531714934,TWSE,2025-06-07 13:26:53
