日期,代號,名稱,篩選
2025-06-06,1338,廣華-KY,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,1410,南染,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,1423,利華,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,1442,名軒,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,1468,昶和,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,1513,中興電,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,1530,亞崴,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,1598,岱宇,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,1612,宏泰,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,1616,億泰,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,1773,勝一,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,1795,美時,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,1802,台玻,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,2211,長榮鋼,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,2301,光寶科,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,2308,台達電,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,2316,楠梓電,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,2327,國巨,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,2329,華泰,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,2337,旺宏,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,2357,華碩,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,2360,致茂,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,2368,金像電,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,2376,技嘉,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,2379,瑞昱,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,2383,台光電,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,2392,正崴,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,2404,漢唐,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,2408,南亞科,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,2419,仲琦,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,2421,建準,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,2429,銘旺科,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,2436,偉詮電,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,2449,京元電子,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,2451,創見,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,2459,敦吉,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,2476,鉅祥,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,2493,揚博,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,2543,皇昌,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,2545,皇翔,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,2881,富邦金,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,2882,國泰金,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,2884,玉山金,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,2889,國票金,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
