日期,代號,名稱,開盤,最高,最低,收盤,成交金額,資料來源,下載時間,5MA,10MA,20MA
2025-03-11,1445,大宇,17.1,17.15,16.8,17.15,1226845.0,TWSE,2025-06-07 15:21:45,8.946,8.007,7.6455
2025-03-12,1445,大宇,17.15,17.4,17.1,17.1,626489.0,TWSE,2025-06-07 15:21:44,10.986,9.001999999999999,8.120500000000002
2025-03-13,1445,大宇,17.0,17.15,16.9,17.0,1148339.0,TWSE,2025-06-07 15:21:43,13.008,9.994,8.5965
2025-03-14,1445,大宇,17.0,17.05,16.85,16.85,820914.0,TWSE,2025-06-07 15:21:42,15.001999999999999,10.972999999999999,9.066500000000001
2025-03-17,1445,大宇,16.9,16.9,16.6,16.8,1715929.0,TWSE,2025-06-07 15:21:40,16.98,11.943999999999999,9.5425
2025-03-18,1445,大宇,16.65,16.95,16.55,16.7,3110920.0,TWSE,2025-06-07 15:21:39,16.889999999999997,12.918000000000001,10.0145
2025-03-19,1445,大宇,17.0,17.0,16.65,16.7,546116.0,TWSE,2025-06-07 15:21:38,16.81,13.898000000000001,10.491
2025-03-20,1445,大宇,16.55,17.05,16.45,17.05,1320919.0,TWSE,2025-06-07 15:21:37,16.82,14.913999999999998,10.986
2025-03-21,1445,大宇,16.95,17.05,16.7,16.75,2363872.0,TWSE,2025-06-07 15:21:35,16.8,15.901,11.464
2025-03-24,1445,大宇,16.75,16.9,16.75,16.8,623924.0,TWSE,2025-06-07 15:21:34,16.8,16.89,11.948500000000001
2025-03-25,1445,大宇,16.8,17.0,16.7,17.0,3791900.0,TWSE,2025-06-07 15:21:33,16.860000000000003,16.875,12.440999999999999
2025-03-26,1445,大宇,17.0,17.2,16.8,16.85,2721803.0,TWSE,2025-06-07 15:21:32,16.89,16.85,12.925999999999998
2025-03-27,1445,大宇,16.35,16.75,16.35,16.5,985458.0,TWSE,2025-06-07 15:21:30,16.78,16.8,13.397
2025-03-28,1445,大宇,16.65,16.65,16.2,16.2,1854207.0,TWSE,2025-06-07 15:21:29,16.67,16.735,13.854
2025-03-31,1445,大宇,16.2,16.2,15.15,15.2,1633528.0,TWSE,2025-06-07 15:21:28,16.35,16.575,14.2595
2025-04-01,1445,大宇,15.3,15.55,15.3,15.5,571816.0,TWSE,2025-06-07 15:21:25,16.05,16.455000000000002,14.686499999999999
2025-04-02,1445,大宇,15.5,15.5,15.4,15.4,418289.0,TWSE,2025-06-07 15:21:23,15.76,16.325000000000003,15.111500000000001
2025-04-07,1445,大宇,13.9,13.9,13.9,13.9,980976.0,TWSE,2025-06-07 15:21:21,15.24,16.009999999999998,15.462
2025-04-08,1445,大宇,12.55,12.9,12.55,12.7,4481346.0,TWSE,2025-06-07 15:21:20,14.540000000000001,15.605,15.753
2025-04-09,1445,大宇,12.3,12.8,11.45,11.5,6524041.0,TWSE,2025-06-07 15:21:18,13.8,15.075,15.982499999999998
2025-04-10,1445,大宇,12.5,12.65,12.45,12.65,766859.0,TWSE,2025-06-07 15:21:16,13.229999999999999,14.64,15.757500000000002
2025-04-11,1445,大宇,12.65,13.8,12.15,13.8,1145614.0,TWSE,2025-06-07 15:21:14,12.91,14.334999999999999,15.592499999999998
2025-04-14,1445,大宇,14.0,14.5,14.0,14.05,3834825.0,TWSE,2025-06-07 15:21:12,12.940000000000001,14.09,15.444999999999999
2025-04-15,1445,大宇,14.1,14.5,14.0,14.4,961351.0,TWSE,2025-06-07 15:21:10,13.280000000000001,13.91,15.322500000000002
2025-04-16,1445,大宇,14.35,14.6,14.2,14.2,1788797.0,TWSE,2025-06-07 15:21:09,13.819999999999999,13.810000000000002,15.1925
2025-04-17,1445,大宇,14.1,14.35,14.1,14.2,319137.0,TWSE,2025-06-07 15:21:08,14.13,13.680000000000001,15.0675
2025-04-18,1445,大宇,14.2,14.2,13.9,13.9,763756.0,TWSE,2025-06-07 15:21:07,14.15,13.530000000000001,14.927499999999998
2025-04-21,1445,大宇,13.3,13.65,13.0,13.0,1302582.0,TWSE,2025-06-07 15:21:04,13.940000000000001,13.440000000000001,14.725
2025-04-22,1445,大宇,12.7,13.35,12.7,12.8,705538.0,TWSE,2025-06-07 15:21:03,13.62,13.45,14.5275
2025-04-23,1445,大宇,12.95,13.75,12.95,13.55,1083845.0,TWSE,2025-06-07 15:21:02,13.49,13.655000000000001,14.365
2025-04-24,1445,大宇,13.95,14.0,13.6,13.8,516051.0,TWSE,2025-06-07 13:28:48,13.41,13.770000000000001,14.205000000000002
2025-04-25,1445,大宇,14.2,14.2,13.75,13.75,585259.0,TWSE,2025-06-07 13:28:44,13.38,13.765,14.05
2025-04-28,1445,大宇,13.95,14.05,13.75,13.75,519001.0,TWSE,2025-06-07 13:28:32,13.530000000000001,13.735,13.9125
2025-04-29,1445,大宇,14.15,14.25,13.9,14.2,505985.0,TWSE,2025-06-07 13:28:28,13.809999999999999,13.715,13.8125
2025-04-30,1445,大宇,14.1,14.2,14.1,14.1,384531.0,TWSE,2025-06-07 13:28:22,13.919999999999998,13.705000000000002,13.757500000000002
2025-05-02,1445,大宇,14.1,14.2,14.05,14.2,1461934.0,TWSE,2025-06-07 13:28:15,14.0,13.705000000000002,13.6925
2025-05-05,1445,大宇,14.55,14.9,14.1,14.45,346005.0,TWSE,2025-06-07 13:28:04,14.139999999999997,13.76,13.645
2025-05-06,1445,大宇,14.15,14.45,14.15,14.2,349127.0,TWSE,2025-06-07 13:27:59,14.229999999999999,13.88,13.66
2025-05-07,1445,大宇,14.25,14.35,14.05,14.35,492613.0,TWSE,2025-06-07 13:27:53,14.26,14.035,13.742500000000001
2025-05-08,1445,大宇,14.15,14.3,14.0,14.3,1135268.0,TWSE,2025-06-07 13:27:49,14.3,14.11,13.882500000000002
2025-05-09,1445,大宇,14.3,14.35,14.15,14.35,850867.0,TWSE,2025-06-07 13:27:45,14.329999999999998,14.165000000000001,13.967499999999998
2025-05-12,1445,大宇,14.15,14.55,14.15,14.55,430469.0,TWSE,2025-06-07 13:27:34,14.35,14.245,14.005
2025-05-13,1445,大宇,14.7,15.0,14.55,14.75,755564.0,TWSE,2025-06-07 13:27:30,14.459999999999999,14.344999999999999,14.040000000000001
2025-05-14,1445,大宇,14.7,14.9,14.7,14.75,2042569.0,TWSE,2025-06-07 13:27:26,14.540000000000001,14.4,14.0575
2025-05-15,1445,大宇,14.75,14.95,14.75,14.85,1421757.0,TWSE,2025-06-07 13:27:21,14.65,14.475,14.09
2025-05-16,1445,大宇,14.85,15.0,14.8,14.9,1464319.0,TWSE,2025-06-07 13:27:17,14.760000000000002,14.544999999999998,14.125
2025-05-19,1445,大宇,15.15,15.15,14.75,14.8,526714.0,TWSE,2025-06-07 13:27:07,14.809999999999999,14.580000000000002,14.170000000000002
2025-05-20,1445,大宇,15.0,15.1,14.65,14.85,2429737.0,TWSE,2025-06-07 13:27:02,14.830000000000002,14.645,14.2625
2025-05-21,1445,大宇,14.9,15.05,14.9,15.05,1324732.0,TWSE,2025-06-07 13:26:57,14.89,14.715,14.375
