日期,代號,名稱,篩選,篩選
2025-06-16,1218,泰山,多頭排列,多頭排列
2025-06-16,1402,遠東新,多頭排列,多頭排列
2025-06-16,1423,利華,多頭排列,多頭排列
2025-06-16,1504,東元,多頭排列,多頭排列
2025-06-16,1513,中興電,多頭排列,多頭排列
2025-06-16,1514,亞力,多頭排列,多頭排列
2025-06-16,1519,華城,多頭排列,多頭排列
2025-06-16,1541,錩泰,多頭排列,多頭排列
2025-06-16,1560,中砂,多頭排列,多頭排列
2025-06-16,1587,吉茂,多頭排列,多頭排列
2025-06-16,1612,宏泰,多頭排列,多頭排列
2025-06-16,1614,三洋電,多頭排列,多頭排列
2025-06-16,1616,億泰,多頭排列,多頭排列
2025-06-16,1713,國化,多頭排列,多頭排列
2025-06-16,1726,永記,多頭排列,多頭排列
2025-06-16,2208,台船,多頭排列,多頭排列
2025-06-16,2301,光寶科,多頭排列,多頭排列
2025-06-16,2308,台達電,多頭排列,多頭排列
2025-06-16,2329,華泰,多頭排列,多頭排列
2025-06-16,2337,旺宏,多頭排列,多頭排列
2025-06-16,2354,鴻準,多頭排列,多頭排列
2025-06-16,2356,英業達,多頭排列,多頭排列
2025-06-16,2357,華碩,多頭排列,多頭排列
2025-06-16,2360,致茂,多頭排列,多頭排列
2025-06-16,2362,藍天,多頭排列,多頭排列
2025-06-16,2364,倫飛,多頭排列,多頭排列
2025-06-16,2382,廣達,多頭排列,多頭排列
2025-06-16,2383,台光電,多頭排列,多頭排列
2025-06-16,2412,中華電,多頭排列,多頭排列
2025-06-16,2419,仲琦,多頭排列,多頭排列
2025-06-16,2427,三商電,多頭排列,多頭排列
2025-06-16,2434,統懋,多頭排列,多頭排列
2025-06-16,2449,京元電子,多頭排列,多頭排列
2025-06-16,2455,全新,多頭排列,多頭排列
2025-06-16,2633,台灣高鐵,多頭排列,多頭排列
2025-06-16,2801,彰銀,多頭排列,多頭排列
2025-06-16,2809,京城銀,多頭排列,多頭排列
2025-06-16,2812,台中銀,多頭排列,多頭排列
2025-06-16,2834,臺企銀,多頭排列,多頭排列
2025-06-16,2852,第一保,多頭排列,多頭排列
2025-06-16,2884,玉山金,多頭排列,多頭排列
2025-06-16,2885,元大金,多頭排列,多頭排列
2025-06-16,2890,永豐金,多頭排列,多頭排列
2025-06-16,2891,中信金,多頭排列,多頭排列
2025-06-16,2892,第一金,多頭排列,多頭排列
2025-06-16,2911,麗嬰房,多頭排列,多頭排列
2025-06-16,2915,潤泰全,多頭排列,多頭排列
2025-06-16,3005,神基,多頭排列,多頭排列
2025-06-16,3008,大立光,多頭排列,多頭排列
2025-06-16,3013,晟銘電,多頭排列,多頭排列
2025-06-16,3017,奇鋐,多頭排列,多頭排列
2025-06-16,3044,健鼎,多頭排列,多頭排列
2025-06-16,3052,夆典,多頭排列,多頭排列
2025-06-16,3062,建漢,多頭排列,多頭排列
2025-06-16,3090,日電貿,多頭排列,多頭排列
2025-06-16,3167,大量,多頭排列,多頭排列
2025-06-16,3231,緯創,多頭排列,多頭排列
2025-06-16,3380,明泰,多頭排列,多頭排列
2025-06-16,3515,華擎,多頭排列,多頭排列
2025-06-16,3535,晶彩科,多頭排列,多頭排列
2025-06-16,3563,牧德,多頭排列,多頭排列
2025-06-16,3583,辛耘,多頭排列,多頭排列
2025-06-16,3592,瑞鼎,多頭排列,多頭排列
2025-06-16,3605,宏致,多頭排列,多頭排列
2025-06-16,3653,健策,多頭排列,多頭排列
2025-06-16,3665,貿聯-KY,多頭排列,多頭排列
2025-06-16,3702,大聯大,多頭排列,多頭排列
2025-06-16,3706,神達,多頭排列,多頭排列
2025-06-16,4164,承業醫,多頭排列,多頭排列
2025-06-16,4571,鈞興-KY,多頭排列,多頭排列
2025-06-16,4722,國精化,多頭排列,多頭排列
2025-06-16,4956,光鋐,多頭排列,多頭排列
2025-06-16,4977,眾達-KY,多頭排列,多頭排列
2025-06-16,5222,全訊,多頭排列,多頭排列
2025-06-16,5234,達興材料,多頭排列,多頭排列
2025-06-16,5243,乙盛-KY,多頭排列,多頭排列
2025-06-16,5284,jpp-KY,多頭排列,多頭排列
2025-06-16,5434,崇越,多頭排列,多頭排列
2025-06-16,5469,瀚宇博,多頭排列,多頭排列
2025-06-16,6141,柏承,多頭排列,多頭排列
2025-06-16,6142,友勁,多頭排列,多頭排列
2025-06-16,6196,帆宣,多頭排列,多頭排列
2025-06-16,6206,飛捷,多頭排列,多頭排列
2025-06-16,6239,力成,多頭排列,多頭排列
2025-06-16,6442,光聖,多頭排列,多頭排列
2025-06-16,6451,訊芯-KY,多頭排列,多頭排列
2025-06-16,6625,必應,多頭排列,多頭排列
2025-06-16,6668,中揚光,多頭排列,多頭排列
2025-06-16,6674,鋐寶科技,多頭排列,多頭排列
2025-06-16,6805,富世達,多頭排列,多頭排列
2025-06-16,6835,圓裕,多頭排列,多頭排列
